Booking_ID,adults,children,weekend_nights,week_nights,meal_plan,parking_request,room_type_reserved,lead_time,market_type,first_time,previous_cancellations,avg_price_per_room,number_of_special_requests,booking_status,arrival_date
INN11490,2.0,,,,Meal Plan 1,No,Room_Type 1,18,Online,Yes,0,160.0,1,Not_Canceled,2018/10/21
INN08629,2.0,,1.0,,Meal Plan 1,No,Room_Type 4,58,Online,Yes,0,123.3,2,Not_Canceled,2018/09/02
INN36226,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,85,Offline,Yes,0,85.0,1,Not_Canceled,2018/10/06
INN10909,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,30,Offline,Yes,0,60.0,0,Not_Canceled,2018/01/06
INN05472,1.0,,,,Meal Plan 1,No,Room_Type 1,32,Offline,Yes,0,73.0,0,Not_Canceled,2017/11/20
INN27476,3.0,,,,Meal Plan 1,No,Room_Type 1,130,Offline,Yes,0,96.9,0,Not_Canceled,2018/07/26
INN12433,2.0,,1.0,,Not Selected,No,Room_Type 1,56,Online,Yes,0,116.1,1,Not_Canceled,2018/05/13
INN05893,1.0,,,,Not Selected,No,Room_Type 1,8,Online,Yes,0,84.7,1,Not_Canceled,2018/10/27
INN11348,1.0,,,,Meal Plan 1,No,Room_Type 1,32,Offline,Yes,0,73.0,0,Not_Canceled,2017/11/20
INN07650,2.0,,1.0,,Meal Plan 2,No,Room_Type 1,54,Offline,Yes,0,92.0,1,Not_Canceled,2018/03/14
INN34550,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,196,Offline,Yes,0,72.25,0,Not_Canceled,2018/08/01
INN01718,2.0,,2.0,,Not Selected,No,Room_Type 1,53,Online,Yes,0,65.75,0,Not_Canceled,2018/03/06
INN26805,2.0,,1.0,,Not Selected,No,Room_Type 1,0,Online,Yes,0,98.0,1,Not_Canceled,2018/08/07
INN32905,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,80,Online,Yes,0,94.6,1,Not_Canceled,2018/11/04
INN05316,2.0,,,,Meal Plan 1,No,Room_Type 1,71,Online,Yes,0,126.9,0,Canceled,2018/06/09
INN17692,1.0,,,,Meal Plan 1,No,Room_Type 1,4,Online,Yes,0,80.0,0,Not_Canceled,2018/01/19
INN21708,2.0,,2.0,,Not Selected,No,Room_Type 1,8,Online,Yes,0,126.67,1,Canceled,2018/10/29
INN04065,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,3,Offline,Yes,0,85.0,0,Not_Canceled,2018/02/13
INN32654,2.0,,,,Meal Plan 1,No,Room_Type 1,0,Online,Yes,0,148.67,0,Canceled,2017/08/13
INN00487,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,34,Complementary,Yes,0,6.5,1,Not_Canceled,2018/02/28
INN05349,2.0,,,,Meal Plan 1,No,Room_Type 1,50,Offline,Yes,0,52.0,2,Not_Canceled,2018/01/14
INN10229,2.0,,,,Meal Plan 1,No,Room_Type 1,1,Online,Yes,0,140.0,0,Not_Canceled,2018/10/21
INN24055,1.0,,,,Meal Plan 1,No,Room_Type 1,16,Offline,Yes,0,129.0,1,Not_Canceled,2018/10/05
INN20096,1.0,,,,Meal Plan 2,No,Room_Type 1,48,Offline,Yes,0,80.0,0,Not_Canceled,2017/09/11
INN09900,2.0,1.0,1.0,,Meal Plan 1,No,Room_Type 1,207,Online,Yes,0,123.25,1,Canceled,2018/08/29
INN27737,2.0,,1.0,,Meal Plan 1,No,Room_Type 2,62,Online,Yes,0,65.66,1,Not_Canceled,2018/02/15
INN04517,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,174,Online,Yes,0,112.0,1,Canceled,2018/07/25
INN20377,3.0,,2.0,,Meal Plan 1,No,Room_Type 4,35,Online,Yes,0,156.24,2,Not_Canceled,2018/09/25
INN03548,2.0,,,,Meal Plan 1,Yes,Room_Type 4,29,Online,Yes,0,104.77,0,Not_Canceled,2018/02/03
INN07464,1.0,,,,Meal Plan 1,No,Room_Type 1,1,Online,Yes,0,115.0,1,Not_Canceled,2018/06/07
INN36121,1.0,,,,Meal Plan 1,No,Room_Type 1,8,Online,Yes,0,123.2,0,Not_Canceled,2018/10/19
INN08576,2.0,,,,Not Selected,No,Room_Type 1,4,Online,Yes,0,79.0,0,Not_Canceled,2018/02/16
INN06071,1.0,,,,Meal Plan 1,No,Room_Type 4,11,Corporate,Yes,0,90.0,0,Not_Canceled,2018/06/14
INN17388,2.0,1.0,1.0,,Meal Plan 2,No,Room_Type 1,66,Online,Yes,0,148.5,0,Canceled,2018/04/23
INN22649,3.0,,2.0,,Meal Plan 1,No,Room_Type 4,150,Online,Yes,0,125.8,0,Canceled,2018/06/28
INN18110,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,88,Online,Yes,0,132.3,3,Not_Canceled,2018/10/08
INN30383,3.0,,,,Meal Plan 2,No,Room_Type 4,107,Online,Yes,0,189.0,2,Not_Canceled,2018/07/13
INN23773,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,59,Online,Yes,0,104.64,1,Not_Canceled,2018/08/05
INN10758,2.0,,,,Meal Plan 1,No,Room_Type 4,44,Offline,Yes,0,60.0,1,Not_Canceled,2017/11/11
INN09731,2.0,,,,Meal Plan 1,No,Room_Type 1,213,Offline,Yes,0,130.0,0,Canceled,2018/06/07
INN17114,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,221,Offline,Yes,0,65.0,1,Not_Canceled,2017/10/17
INN18485,2.0,2.0,2.0,,Meal Plan 1,No,Room_Type 6,134,Online,Yes,0,177.3,0,Canceled,2018/07/24
INN34413,2.0,2.0,,,Meal Plan 1,No,Room_Type 6,13,Online,Yes,0,153.0,2,Not_Canceled,2017/08/27
INN31778,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,115,Online,Yes,0,88.4,2,Not_Canceled,2018/12/18
INN31565,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,24,Corporate,Yes,0,60.56,0,Not_Canceled,2017/12/05
INN00260,3.0,,2.0,,Meal Plan 2,No,Room_Type 4,111,Online,Yes,0,189.0,1,Not_Canceled,2018/07/23
INN01398,2.0,,,,Not Selected,No,Room_Type 1,3,Online,Yes,0,67.5,0,Not_Canceled,2018/01/08
INN10633,1.0,,,,Meal Plan 1,No,Room_Type 1,42,Offline,Yes,0,67.5,0,Not_Canceled,2018/11/04
INN35669,2.0,,,,Meal Plan 1,No,Room_Type 1,297,Online,Yes,0,118.0,1,Canceled,2018/09/23
INN36081,1.0,,1.0,1.0,Meal Plan 1,No,Room_Type 7,0,Complementary,No,3,0.0,1,Not_Canceled,2018/03/21
INN08623,1.0,,1.0,,Meal Plan 1,Yes,Room_Type 1,5,Complementary,No,2,0.0,1,Not_Canceled,2018/12/05
INN25222,2.0,,,,Meal Plan 2,No,Room_Type 1,292,Offline,Yes,0,109.0,0,Canceled,2018/07/21
INN00337,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,38,Online,Yes,0,126.0,0,Not_Canceled,2018/10/02
INN29521,1.0,,,,Meal Plan 1,No,Room_Type 1,99,Corporate,Yes,0,81.0,0,Not_Canceled,2018/02/19
INN36100,1.0,,,,Meal Plan 1,No,Room_Type 1,2,Online,Yes,0,80.0,1,Not_Canceled,2018/01/30
INN09172,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,219,Offline,Yes,0,76.67,0,Not_Canceled,2017/09/04
INN09096,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,71,Online,Yes,0,95.25,0,Not_Canceled,2018/03/03
INN05611,2.0,,1.0,,Meal Plan 2,No,Room_Type 1,37,Offline,Yes,0,115.0,0,Not_Canceled,2018/10/22
INN13756,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,110,Online,Yes,0,114.3,1,Not_Canceled,2018/07/08
INN06037,2.0,,,,Not Selected,No,Room_Type 1,2,Online,Yes,0,80.0,1,Not_Canceled,2018/01/19
INN08808,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,13,Online,Yes,0,94.35,1,Not_Canceled,2018/05/29
INN08441,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,418,Offline,Yes,0,75.0,0,Canceled,2018/09/26
INN11789,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,60,Offline,Yes,0,60.0,0,Not_Canceled,2017/10/12
INN07594,2.0,,1.0,,Not Selected,No,Room_Type 1,20,Online,Yes,0,97.0,1,Not_Canceled,2018/03/11
INN12937,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,221,Offline,Yes,0,65.0,0,Not_Canceled,2017/10/10
INN20127,2.0,,,,Meal Plan 1,No,Room_Type 1,103,Online,Yes,0,93.6,2,Canceled,2018/12/07
INN22966,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,273,Offline,Yes,0,95.0,0,Canceled,2018/05/13
INN26823,2.0,,,,Meal Plan 1,No,Room_Type 1,22,Offline,Yes,0,140.0,0,Not_Canceled,2018/05/20
INN20513,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,161,Online,Yes,0,101.15,1,Canceled,2018/07/31
INN19905,2.0,,,,Meal Plan 2,No,Room_Type 1,4,Online,Yes,0,164.0,0,Canceled,2018/06/14
